Date,Anomaly
198003,-0.03
198004,-0.06
198005,-0.76
198006,-1.03
198007,-1.15
198008,-0.14
198009,-0.06
198010,0.27
198011,0.01
198012,-0.02
198101,-0.39
198102,-1.22
198103,-0.28
198104,-1.21
198105,-0.62
198106,-0.33
198107,-1.33
198108,0.43
198109,-0.37
198110,-0.09
198111,-1.51
198112,0.53
198201,1.19
198202,-1.95
198203,-1.06
198204,-1.29
198205,-0.83
198206,0
198207,0.79
198208,-0.08
198209,0.11
198210,-0.84
198211,-2.36
198212,-1.01
198301,-4.19
198302,-1.42
198303,-2.33
198304,-0.81
198305,-0.03
198306,0.17
198307,0.83
198308,0.89
198309,0.39
198310,0.49
198311,-0.52
198312,0.79
198401,-1.37
198402,0.14
198403,0.18
198404,-0.08
198405,-0.14
198406,-0.37
198407,0.11
198408,1.64
198409,0.48
198410,0.8
198411,-0.93
198412,-0.72
198501,2.37
198502,-3.42
198503,-0.1
198504,-1.38
198505,-0.63
198506,-0.82
198507,-0.84
198508,0.45
198509,-0.72
198510,0.34
198511,-0.67
198512,0.22
198601,-0.41
198602,1.18
198603,0.21
198604,-1.01
198605,-0.43
198606,-0.07
198607,-0.76
198608,0.72
198609,-0.59
198610,-0.45
198611,-0.99
198612,-1.92
198701,-1.15
198702,0.3
198703,-0.43
198704,-1.52
198705,-0.66
198706,-0.31
198707,0.82
198708,1.27
198709,0.68
198710,-0.71
198711,-0.27
198712,-0.61
198801,0
198802,-0.08
198803,-0.16
198804,-0.2
198805,-0.83
198806,-0.98
198807,-1.35
198808,-0.79
198809,-0.92
198810,-0.85
198811,-1.21
198812,0.45
198901,-2.26
198902,-3.65
198903,-1.41
198904,-1.02
198905,-1.13
198906,-0.49
198907,-0.17
198908,0.44
198909,-0.02
198910,-0.42
198911,-0.24
198912,-0.72
199001,-0.12
199002,-1.5
199003,-2.86
199004,0.14
199005,0.35
199006,0.35
199007,-0.06
199008,0.81
199009,0.24
199010,0.43
199011,0.39
199012,2
199101,0.93
199102,0.31
199103,-0.51
199104,-0.21
199105,-1.82
199106,-0.4
199107,0.13
199108,-0.1
199109,-0.09
199110,0.08
199111,-0.55
199112,-1.33
199201,-2.23
199202,-4.54
199203,-0.37
199204,-0.02
199205,-1.13
199206,-0.17
199207,-0.76
199208,-0.75
199209,-0.77
199210,-1.04
199211,-0.56
199212,-1.1
199301,-0.41
199302,-1.87
199303,-0.04
199304,-0.63
199305,-2.38
199306,-0.92
199307,-0.37
199308,1.19
199309,0.48
199310,-0.36
199311,0.38
199312,0.4
199401,0.78
199402,-2.05
199403,-0.41
199404,-0.09
199405,0.36
199406,-0.92
199407,-0.64
199408,-0.18
199409,-1.28
199410,-0.56
199411,-1.56
199412,-1.93
199501,0.63
199502,-0.96
199503,-0.39
199504,-0.62
199505,0.04
199506,0.48
199507,-0.07
199508,0.24
199509,-0.55
199510,-1.21
199511,-1.16
199512,-0.14
199601,0.01
199602,-0.07
199603,-0.16
199604,-0.94
199605,-1.07
199606,-0.44
199607,0.37
199608,0.29
199609,-0.33
199610,-0.52
199611,-1.4
199612,-0.32
199701,-0.6
199702,-2.73
199703,0.09
199704,-0.35
199705,-0.93
199706,-0.55
199707,-0.39
199708,0.36
199709,1.51
199710,0.19
199711,-0.5
199712,0.18
199801,-1.26
199802,-0.78
199803,-1.33
199804,0.51
199805,0.89
199806,0.27
199807,0.64
199808,-0.12
199809,-1
199810,-0.09
199811,0.67
199812,1.29
199901,0.93
199902,3.03
199903,-1.14
199904,-0.93
199905,-0.67
199906,0.57
199907,-1.2
199908,-1.3
199909,-0.48
199910,-0.86
199911,0.08
199912,0.33
200001,0.93
200002,-1.68
200003,-2.74
200004,0.14
200005,-0.15
200006,-0.17
200007,-0.6
200008,0.56
200009,0.29
200010,-1.21
200011,-0.42
200012,-0.5
200101,-1.9
200102,-1.42
200103,-0.33
200104,0.17
200105,0.23
200106,-0.47
200107,0.16
200108,0.35
200109,-0.37
200110,-0.47
200111,-0.66
200112,0.91
200201,-2.35
200202,0.2
200203,0.24
200204,1.06
200205,0.58
200206,0.6
200207,0.64
200208,0.6
200209,0.41
200210,-0.18
200211,0.67
200212,-0.93
200301,0.81
200302,1.11
200303,0.37
200304,0.42
200305,-0.45
200306,-0.45
200307,-0.97
200308,0.09
200309,0.31
200310,0.29
200311,0.6
200312,0.58
200401,0.87
200402,-0.98
200403,-1.44
200404,0.17
200405,0.81
200406,-0.34
200407,0.12
200408,0.32
200409,0.47
200410,0.66
200411,-0.21
200412,-0.21
200501,-0.85
200502,3.45
200503,-0.11
200504,0.36
200505,-1.09
200506,-0.15
200507,-0.8
200508,0.17
200509,0.22
200510,0.65
200511,0.19
200512,2.71
200601,2.66
200602,1.8
200603,0.75
200604,-0.3
200605,-0.1
200606,-0.03
200607,0.84
200608,-0.29
200609,-0.35
200610,0.25
200611,-0.83
200612,-1.78
200701,-1.93
