Date,Anomaly
198002,-1.06
198003,0.11
198004,-0.13
198005,-1.4
198006,-0.75
198007,-0.59
198008,-1.96
198009,-1.87
198010,-1.07
198011,0.42
198012,-0.74
198101,0.48
198102,-0.27
198103,-0.13
198104,-1.11
198105,-1.91
198106,-1.99
198107,-0.84
198108,-1.36
198109,-1.18
198110,-1.45
198111,-0.6
198112,1.3
198201,0.1
198202,-2.7
198203,-2.34
198204,-1.23
198205,-0.93
198206,-0.97
198207,-1.57
198208,-2.15
198209,-0.3
198210,-1.74
198211,-3.71
198212,-1.95
198301,-2.38
198302,-2.15
198303,-3.06
198304,-2.5
198305,-0.54
198306,-0.81
198307,-0.59
198308,-1.97
198309,-1.95
198310,-2.92
198311,0.59
198312,-0.23
198401,-0.44
198402,-0.41
198403,0.21
198404,-0.3
198405,-2.52
198406,-1.92
198407,-1.1
198408,-3
198409,-1.53
198410,-2.42
198411,-0.11
198412,-1.6
198501,0.87
198502,-1.71
198503,-1.87
198504,-0.92
198505,-0.79
198506,-1.48
198507,-1.66
198508,-1.09
198509,-1.54
198510,-2.14
198511,0.23
198512,-1.04
198601,-0.25
198602,-0.49
198603,-0.88
198604,-1.01
198605,-0.98
198606,-1.84
198607,-0.64
198608,-0.41
198609,-0.61
198610,0.21
198611,-1.66
198612,-1.76
198701,-0.15
198702,1.12
198703,-1.31
198704,-1.11
198705,0.25
198706,-1.12
198707,-0.11
198708,-0.66
198709,-0.46
198710,-0.94
198711,-0.48
198712,0.31
198801,-1.15
198802,-0.58
198803,-0.61
198804,-0.91
198805,-0.58
198806,-1.37
198807,-0.55
198808,-0.85
198809,-0.38
198810,-0.33
198811,-0.47
198812,-0.43
198901,-2.82
198902,-3.2
198903,-0.84
198904,-0.57
198905,-0.54
198906,-1.69
198907,-0.33
198908,-0.88
198909,-1.57
198910,-0.94
198911,0.28
198912,-1.11
199001,-1.84
199002,-1.7
199003,-1.03
199004,-1.09
199005,-0.12
199006,-1.11
199007,-0.64
199008,-0.68
199009,-1.12
199010,-0.92
199011,-0.17
199012,0.87
199101,-0.33
199102,-1.31
199103,-0.99
199104,0.22
199105,-2.1
199106,-1.55
199107,-1.96
199108,-2.17
199109,-1.6
199110,-1.14
199111,-0.27
199112,0.14
199201,-3.16
199202,-2.48
199203,-3.42
199204,-1.51
199205,-1.63
199206,-1.13
199207,-1.97
199208,-1.15
199209,-0.91
199210,-2.23
199211,-0.69
199212,-1.4
199301,-1.99
199302,-1.72
199303,-1.03
199304,-1.81
199305,-1.86
199306,-1.34
199307,-0.8
199308,-0.64
199309,-0.55
199310,-0.32
199311,-0.25
199312,0.47
199401,1.3
199402,-0.27
199403,-0.64
199404,0.23
199405,-0.94
199406,-0.86
199407,-1.57
199408,-1.58
199409,-0.65
199410,-0.32
199411,0.69
199412,-2.47
199501,0.1
199502,-0.43
199503,-1.08
199504,-1.07
199505,-0.73
199506,-0.9
199507,-1.47
199508,-0.89
199509,-1.72
199510,-1.27
199511,-0.73
199512,-1.56
199601,0.04
199602,0.81
199603,-0.73
199604,-1.25
199605,0.15
199606,-0.81
199607,0.14
199608,-0.28
199609,-0.68
199610,-1.33
199611,-0.68
199612,1.22
199701,0.53
199702,-1.81
199703,-2.56
199704,-1.96
199705,-0.76
199706,-0.23
199707,-0.81
199708,-1.9
199709,-0.49
199710,-0.05
199711,-0.82
199712,-0.52
199801,-1.04
199802,-0.18
199803,-1.24
199804,-0.32
199805,-0.37
199806,0.58
199807,0.17
199808,1.25
199809,0.83
199810,-0.57
199811,1.87
199812,2.17
199901,0.97
199902,1.38
199903,-0.21
199904,0.69
199905,0.33
199906,0.44
199907,-0.2
199908,0.48
199909,0.38
199910,0.54
199911,0.5
199912,-0.3
200001,-0.06
200002,-0.9
200003,-0.6
200004,2
200005,0.31
200006,-0.46
200007,0.98
200008,0.67
200009,-0.92
200010,-0.63
200011,-1.79
200012,-0.45
200101,-1.11
200102,-0.81
200103,1.21
200104,0.62
200105,0.27
200106,-0.31
200107,-0.11
200108,0.61
200109,0.29
200110,0.2
200111,-0.46
200112,2.29
200201,-0.62
200202,0.39
200203,0.82
200204,-0.6
200205,0.06
200206,-0.22
200207,0.28
200208,-0.47
200209,-0.41
200210,0.58
200211,-0.4
200212,-0.12
200301,0.4
200302,0.61
200303,-0.61
200304,0.62
200305,0.35
200306,0.44
200307,-0.25
200308,0.24
200309,-0.46
200310,0.29
200311,-0.26
200312,0.01
200401,1.41
200402,0.22
200403,0.92
200404,-1.11
200405,-0.82
200406,-0.38
200407,-0.05
200408,-0.41
200409,-0.99
200410,0.51
200411,0.81
200412,-2.25
200501,-0.16
200502,-0.73
200503,-0.09
200504,0.41
200505,-0.6
200506,-0.7
200507,0.12
200508,0.02
200509,-0.62
200510,-0.75
200511,-0.36
200512,1.22
200601,0.32
200602,0.67
200603,0.81
200604,0.02
200605,1.13
200606,0.77
200607,0.28
200608,0.44
200609,-0.69
200610,1.12
200611,-0.55
200612,-3.09
200701,-2.07
200702,-0.15
200703,-0.01
200704,-0.11
200705,0.89
200706,0.09
200707,-0.22
200708,0.25
200709,0.34
200710,0.24
200711,0.53
200712,-0.31
200801,-2.4
200802,-0.92
200803,2.48
200804,0.93
200805,0.24
200806,-0.09
200807,0.02
200808,0.06
200809,0.37
200810,-0.55
200811,-0.79
200812,-1.06
200901,-1.59
200902,1.21
200903,-0.22
200904,-0.82
200905,0.48
200906,0.66
200907,-0.07
200908,0.04
200909,-0.23
200910,0.17
200911,0.62
200912,1.17
201001,2.01
201002,1.47
201003,2.51
201004,0.69
201005,0.19
201006,0.5
201007,0.82
201008,0.68
201009,0.93
201010,0.89
201011,0.73
201012,1.14
201101,0.97
201102,0.13
201103,-0.42
201104,0.13
201105,0.6
201106,0.63
201107,0.33
201108,0.13
201109,0.21
201110,-0.62
201111,-1.88
201112,-1.97
201201,-0.05
201202,-0.58
201203,-1.43
201204,0.12
201205,1.28
201206,0.84
201207,0.97
201208,0.47
201209,-0.19
201210,1.04
201211,0.87
201212,0.6
201301,1.13
201302,1.54
201303,0.94
201304,0.4
201305,-1.22
201306,-0.73
201307,0.33
201308,-0.36
201309,-0.16
201310,-1.43
201311,0.48
201312,-0.29
201401,0.09
201402,-0.24
201403,1.24
201404,1.41
201405,1.01
