Date,Anomaly
194603,-0.05
194604,0.02
194605,0
194606,-0.13
194607,-0.1
194608,-0.14
194609,-0.04
194610,-0.07
194611,0.01
194612,-0.18
194701,0.01
194702,0.03
194703,0.05
194704,0.09
194705,0
194706,0.08
194707,0
194708,-0.08
194709,-0.11
194710,0.02
194711,-0.01
194712,-0.1
194801,0.01
194802,-0.09
194803,-0.22
194804,-0.04
194805,0.11
194806,-0.06
194807,-0.03
194808,-0.04
194809,-0.11
194810,-0.03
194811,-0.08
194812,-0.21
194901,0.09
194902,-0.11
194903,0.03
194904,-0.05
194905,0
194906,-0.15
194907,-0.07
194908,-0.08
194909,-0.14
194910,-0.06
194911,-0.1
194912,-0.1
195001,-0.2
195002,-0.21
195003,-0.06
195004,-0.17
195005,0.01
195006,-0.01
195007,-0.05
195008,-0.09
195009,-0.08
195010,-0.19
195011,-0.29
195012,-0.21
195101,-0.32
195102,-0.38
195103,-0.12
195104,-0.15
195105,0.03
195106,0.04
195107,0.04
195108,0.1
195109,0.14
195110,0.13
195111,0
195112,0.18
195201,0.15
195202,0.12
195203,-0.02
195204,0.09
195205,0.01
195206,0.01
195207,0.06
195208,0.07
195209,0.08
195210,0.04
195211,-0.07
195212,0.04
195301,0.09
195302,0.17
195303,0.17
195304,0.27
195305,0.18
195306,0.18
195307,0.01
195308,0.04
195309,0.01
195310,0.1
195311,-0.01
195312,0.05
195401,-0.17
195402,-0.05
195403,-0.12
195404,-0.15
195405,-0.17
195406,-0.09
195407,-0.07
195408,-0.11
195409,-0.09
195410,-0.02
195411,0.04
195412,-0.12
195501,0.13
195502,-0.18
195503,-0.29
195504,-0.2
195505,-0.14
195506,-0.11
195507,-0.09
195508,0.04
195509,-0.07
195510,-0.06
195511,-0.23
195512,-0.26
195601,-0.08
195602,-0.16
195603,-0.14
195604,-0.24
195605,-0.26
195606,-0.15
195607,-0.09
195608,-0.25
195609,-0.19
195610,-0.24
195611,-0.13
195612,-0.02
195701,-0.04
195702,-0.07
195703,-0.07
195704,0.05
195705,0.11
195706,0.18
195707,0.07
195708,0.16
195709,0.12
195710,0.05
195711,0.06
195712,0.11
195801,0.36
195802,0.2
195803,0.14
195804,0.07
195805,0.09
195806,0.04
195807,0.12
195808,0.02
195809,-0.02
195810,0.03
195811,0
195812,0.09
195901,0.13
195902,0.1
195903,0.22
195904,0.15
195905,0.09
195906,0.1
195907,0.09
195908,0.05
195909,0.02
195910,0
195911,-0.04
195912,0.03
196001,0.05
196002,0.16
196003,-0.24
196004,-0.11
196005,-0.06
196006,-0.01
196007,0.01
196008,0.05
196009,0.08
196010,0.05
196011,-0.11
196012,0.24
196101,0.11
196102,0.17
196103,0.11
196104,0.15
196105,0.14
196106,0.13
